ID,行为名称,执行者用户id,执行用户,执行行为者ip,请求域名,请求模块,请求控制器,请求操作,请求类型,请求参数,详细信息,生成时间
941,b2b2c_brand_edit,,,127.0.0.1,http://www.wd.com,b2b2c,Brand,edit,json,"{""brand_id"":""263"",""store_id"":""0"",""gc_id"":""593"",""brand_name"":""长城葡萄酒"",""brand_tjstore"":"""",""brand_initial"":""C"",""brand_apply"":""1"",""brand_recommend"":""1"",""show_type"":""0"",""brand_pic"":""http:\/\/www.wd.com\/uploads\/b2b2c\/shop\/brand\/04399857399887704_sm.jpg"",""brand_bgpic"":""brand_default_max.jpg"",""brand_xbgpic"":""brand_default_small.jpg"",""brand_sort"":""0"",""brand_introduction"":"""",""brand_view"":""0"",""extend_field"":""brand_recommend"",""extend_action"":""true""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/b2b2c\/brand\/index.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '424',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'brand_id' => '263',\n  'store_id' => '0',\n  'gc_id' => '593',\n  'brand_name' => '长城葡萄酒',\n  'brand_tjstore' => '',\n  'brand_initial' => 'C',\n  'brand_apply' => '1',\n  'brand_recommend' => '1',\n  'show_type' => '0',\n  'brand_pic' => 'http:\/\/www.wd.com\/uploads\/b2b2c\/shop\/brand\/04399857399887704_sm.jpg',\n  'brand_bgpic' => 'brand_default_max.jpg',\n  'brand_xbgpic' => 'brand_default_small.jpg',\n  'brand_sort' => '0',\n  'brand_introduction' => '',\n  'brand_view' => '0',\n  'extend_field' => 'brand_recommend',\n  'extend_action' => 'true',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.000712s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_b2b2c_brand` [ RunTime:0.012815s ]"",""[ SQL ] UPDATE `dp_b2b2c_brand`  SET `brand_recommend` = 1  WHERE  `brand_id` = 263 [ RunTime:0.000329s ]""]}",1575536937
942,b2b2c_brand_edit,,,127.0.0.1,http://www.wd.com,b2b2c,Brand,edit,json,"{""brand_id"":""267"",""store_id"":""0"",""gc_id"":""959"",""brand_name"":""惠氏"",""brand_tjstore"":"""",""brand_initial"":""H"",""brand_apply"":""1"",""brand_recommend"":""1"",""show_type"":""0"",""brand_pic"":""http:\/\/www.wd.com\/uploads\/b2b2c\/shop\/brand\/04399878077210018_sm.jpg"",""brand_bgpic"":""brand_default_max.jpg"",""brand_xbgpic"":""brand_default_small.jpg"",""brand_sort"":""0"",""brand_introduction"":"""",""brand_view"":""0"",""extend_field"":""brand_recommend"",""extend_action"":""true""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/b2b2c\/brand\/index.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '397',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'brand_id' => '267',\n  'store_id' => '0',\n  'gc_id' => '959',\n  'brand_name' => '惠氏',\n  'brand_tjstore' => '',\n  'brand_initial' => 'H',\n  'brand_apply' => '1',\n  'brand_recommend' => '1',\n  'show_type' => '0',\n  'brand_pic' => 'http:\/\/www.wd.com\/uploads\/b2b2c\/shop\/brand\/04399878077210018_sm.jpg',\n  'brand_bgpic' => 'brand_default_max.jpg',\n  'brand_xbgpic' => 'brand_default_small.jpg',\n  'brand_sort' => '0',\n  'brand_introduction' => '',\n  'brand_view' => '0',\n  'extend_field' => 'brand_recommend',\n  'extend_action' => 'true',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.000717s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_b2b2c_brand` [ RunTime:0.013615s ]"",""[ SQL ] UPDATE `dp_b2b2c_brand`  SET `brand_recommend` = 1  WHERE  `brand_id` = 267 [ RunTime:0.000397s ]""]}",1575536939
943,b2b2c_brand_edit,,,127.0.0.1,http://www.wd.com,b2b2c,Brand,edit,json,"{""brand_id"":""267"",""store_id"":""0"",""gc_id"":""959"",""brand_name"":""惠氏"",""brand_tjstore"":"""",""brand_initial"":""H"",""brand_apply"":""1"",""brand_recommend"":""0"",""show_type"":""0"",""brand_pic"":""http:\/\/www.wd.com\/uploads\/b2b2c\/shop\/brand\/04399878077210018_sm.jpg"",""brand_bgpic"":""brand_default_max.jpg"",""brand_xbgpic"":""brand_default_small.jpg"",""brand_sort"":""0"",""brand_introduction"":"""",""brand_view"":""0"",""extend_field"":""brand_recommend"",""extend_action"":""true""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/b2b2c\/brand\/index.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '397',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'brand_id' => '267',\n  'store_id' => '0',\n  'gc_id' => '959',\n  'brand_name' => '惠氏',\n  'brand_tjstore' => '',\n  'brand_initial' => 'H',\n  'brand_apply' => '1',\n  'brand_recommend' => '0',\n  'show_type' => '0',\n  'brand_pic' => 'http:\/\/www.wd.com\/uploads\/b2b2c\/shop\/brand\/04399878077210018_sm.jpg',\n  'brand_bgpic' => 'brand_default_max.jpg',\n  'brand_xbgpic' => 'brand_default_small.jpg',\n  'brand_sort' => '0',\n  'brand_introduction' => '',\n  'brand_view' => '0',\n  'extend_field' => 'brand_recommend',\n  'extend_action' => 'true',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.010847s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_b2b2c_brand` [ RunTime:0.005071s ]"",""[ SQL ] UPDATE `dp_b2b2c_brand`  SET `brand_recommend` = 0  WHERE  `brand_id` = 267 [ RunTime:0.000471s ]""]}",1575536941
944,b2b2c_brand_edit,,,127.0.0.1,http://www.wd.com,b2b2c,Brand,edit,json,"{""brand_id"":""269"",""store_id"":""0"",""gc_id"":""959"",""brand_name"":""美赞臣"",""brand_tjstore"":"""",""brand_initial"":""M"",""brand_apply"":""1"",""brand_recommend"":""0"",""show_type"":""1"",""brand_pic"":""http:\/\/www.wd.com\/uploads\/b2b2c\/shop\/brand\/04399878617014779_sm.jpg"",""brand_bgpic"":""brand_default_max.jpg"",""brand_xbgpic"":""brand_default_small.jpg"",""brand_sort"":""0"",""brand_introduction"":"""",""brand_view"":""0"",""extend_field"":""show_type"",""extend_action"":""true""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/b2b2c\/brand\/index.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '400',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'brand_id' => '269',\n  'store_id' => '0',\n  'gc_id' => '959',\n  'brand_name' => '美赞臣',\n  'brand_tjstore' => '',\n  'brand_initial' => 'M',\n  'brand_apply' => '1',\n  'brand_recommend' => '0',\n  'show_type' => '1',\n  'brand_pic' => 'http:\/\/www.wd.com\/uploads\/b2b2c\/shop\/brand\/04399878617014779_sm.jpg',\n  'brand_bgpic' => 'brand_default_max.jpg',\n  'brand_xbgpic' => 'brand_default_small.jpg',\n  'brand_sort' => '0',\n  'brand_introduction' => '',\n  'brand_view' => '0',\n  'extend_field' => 'show_type',\n  'extend_action' => 'true',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.001015s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_b2b2c_brand` [ RunTime:0.007295s ]"",""[ SQL ] UPDATE `dp_b2b2c_brand`  SET `show_type` = 1  WHERE  `brand_id` = 269 [ RunTime:0.000323s ]""]}",1575536962
945,b2b2c_brand_edit,,,127.0.0.1,http://www.wd.com,b2b2c,Brand,edit,json,"{""brand_id"":""269"",""store_id"":""0"",""gc_id"":""959"",""brand_name"":""美赞臣"",""brand_tjstore"":"""",""brand_initial"":""M"",""brand_apply"":""1"",""brand_recommend"":""0"",""show_type"":""0"",""brand_pic"":""http:\/\/www.wd.com\/uploads\/b2b2c\/shop\/brand\/04399878617014779_sm.jpg"",""brand_bgpic"":""brand_default_max.jpg"",""brand_xbgpic"":""brand_default_small.jpg"",""brand_sort"":""0"",""brand_introduction"":"""",""brand_view"":""0"",""extend_field"":""show_type"",""extend_action"":""true""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/b2b2c\/brand\/index.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '400',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'brand_id' => '269',\n  'store_id' => '0',\n  'gc_id' => '959',\n  'brand_name' => '美赞臣',\n  'brand_tjstore' => '',\n  'brand_initial' => 'M',\n  'brand_apply' => '1',\n  'brand_recommend' => '0',\n  'show_type' => '0',\n  'brand_pic' => 'http:\/\/www.wd.com\/uploads\/b2b2c\/shop\/brand\/04399878617014779_sm.jpg',\n  'brand_bgpic' => 'brand_default_max.jpg',\n  'brand_xbgpic' => 'brand_default_small.jpg',\n  'brand_sort' => '0',\n  'brand_introduction' => '',\n  'brand_view' => '0',\n  'extend_field' => 'show_type',\n  'extend_action' => 'true',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.011090s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_b2b2c_brand` [ RunTime:0.008359s ]"",""[ SQL ] UPDATE `dp_b2b2c_brand`  SET `show_type` = 0  WHERE  `brand_id` = 269 [ RunTime:0.000420s ]""]}",1575536968
946,b2b2c_brand_add,,,127.0.0.1,http://www.wd.com,b2b2c,Brand,add,json,"{""brand_name"":""asdasd"",""brand_tjstore"":""asdasd"",""brand_initial"":""X"",""gc_id"":""1"",""show_type"":""0"",""brand_recommend"":""0"",""brand_sort"":""0"",""brand_introduction"":""asdasd""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/b2b2c\/Brand\/add.html?batch_data=',\n  'content-type' => 'multipart\/form-data; boundary=----WebKitFormBoundaryhxzM6nlw0b8rNjRb',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '1156',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'brand_name' => 'asdasd',\n  'brand_tjstore' => 'asdasd',\n  'brand_initial' => 'X',\n  'gc_id' => '1',\n  'show_type' => '0',\n  'brand_recommend' => '0',\n  'brand_sort' => '0',\n  'brand_introduction' => 'asdasd',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.000661s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_b2b2c_brand` [ RunTime:0.004406s ]"",""[ SQL ] INSERT INTO `dp_b2b2c_brand` (`brand_name` , `brand_initial` , `brand_tjstore` , `brand_recommend` , `show_type` , `brand_sort` , `brand_introduction` , `gc_id`) VALUES ('asdasd' , 'X' , 'asdasd' , 0 , 0 , 0 , 'asdasd' , 1) [ RunTime:0.001833s ]""]}",1575539747
947,menu_add,,,127.0.0.1,http://www.wd.com,admin,Menu,add,json,"{""module"":""b2b2c"",""pid"":""7446"",""title"":""审核"",""mark"":""b2b2c_goods_brand_examine"",""url_value"":""b2b2c\/brand\/examine"",""params"":"""",""url_target"":""_self"",""system_menu"":""0"",""is_hide"":""1"",""icon"":"""",""remarks"":"""",""sort"":""""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/add.html?id=7446&module=b2b2c',\n  'content-type' => 'multipart\/form-data; boundary=----WebKitFormBoundaryQCqTBr45hUcSByRx',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '1230',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'module' => 'b2b2c',\n  'pid' => '7446',\n  'title' => '审核',\n  'mark' => 'b2b2c_goods_brand_examine',\n  'url_value' => 'b2b2c\/brand\/examine',\n  'params' => '',\n  'url_target' => '_self',\n  'system_menu' => '0',\n  'is_hide' => '1',\n  'icon' => '',\n  'remarks' => '',\n  'sort' => '',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.010373s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.004817s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_menu` WHERE  `mark` = 'b2b2c_goods_brand_examine' LIMIT 1 [ RunTime:0.000394s ]"",""[ SQL ] INSERT INTO `dp_admin_menu` (`module` , `pid` , `title` , `mark` , `url_value` , `params` , `url_target` , `system_menu` , `is_hide` , `icon` , `sort` , `create_time` , `update_time`) VALUES ('b2b2c' , 7446 , '审核' , 'b2b2c_goods_brand_examine' , 'b2b2c\/brand\/examine' , '' , '_self' , 0 , 1 , '' , 0 , 1575541627 , 1575541627) [ RunTime:0.000405s ]""]}",1575541627
948,b2b2c_brand_examine,,,127.0.0.1,http://www.wd.com,b2b2c,Brand,examine,json,"{""brand_id"":""363"",""brand_apply"":""1""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/b2b2c\/Brand\/index.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'cache-control' => 'no-cache',\n  'pragma' => 'no-cache',\n  'content-length' => '26',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'brand_id' => '363',\n  'brand_apply' => '1',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.011546s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_b2b2c_brand` [ RunTime:0.007765s ]"",""[ SQL ] UPDATE `dp_b2b2c_brand`  SET `brand_apply` = 1  WHERE  `brand_id` = 363 [ RunTime:0.000442s ]""]}",1575541927
949,b2b2c_brand_del,,,127.0.0.1,http://www.wd.com,b2b2c,Brand,del,json,"{""brand_id"":""363""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/b2b2c\/Brand\/index.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'cache-control' => 'no-cache',\n  'pragma' => 'no-cache',\n  'content-length' => '12',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'brand_id' => '363',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.011606s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_b2b2c_brand` [ RunTime:0.006958s ]"",""[ SQL ] SELECT * FROM `dp_b2b2c_brand` WHERE  `brand_id` IN (363) [ RunTime:0.000399s ]"",""[ SQL ] DELETE FROM `dp_b2b2c_brand` WHERE  `brand_id` IN (363) [ RunTime:0.001445s ]""],""error"":[""[2]unlink(D:\\pj\\php\\wdadmin\\public\/brand_default_max.jpg): No such file or directory[D:\\pj\\php\\wdadmin\\extend\\storage\\local\\Storage.php:227]""]}",1575541941
950,b2b2c_brand_add,,,127.0.0.1,http://www.wd.com,b2b2c,Brand,add,json,"{""brand_name"":""asdasd"",""brand_tjstore"":""asdasd"",""brand_initial"":""S"",""gc_id"":""1"",""show_type"":""0"",""brand_recommend"":""0"",""brand_sort"":""0"",""brand_introduction"":""""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/b2b2c\/Brand\/add.html?batch_data=',\n  'content-type' => 'multipart\/form-data; boundary=----WebKitFormBoundaryKFgdbB3cvOetKTAd',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '1150',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'brand_name' => 'asdasd',\n  'brand_tjstore' => 'asdasd',\n  'brand_initial' => 'S',\n  'gc_id' => '1',\n  'show_type' => '0',\n  'brand_recommend' => '0',\n  'brand_sort' => '0',\n  'brand_introduction' => '',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.010722s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_b2b2c_brand` [ RunTime:0.004624s ]"",""[ SQL ] INSERT INTO `dp_b2b2c_brand` (`brand_name` , `brand_initial` , `brand_tjstore` , `brand_recommend` , `show_type` , `brand_sort` , `brand_introduction` , `gc_id`) VALUES ('asdasd' , 'S' , 'asdasd' , 0 , 0 , 0 , '' , 1) [ RunTime:0.001578s ]""]}",1575541985
